raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
"METAR KDTA 201520Z AUTO 07010KT 10SM CLR 13/M06 A3031 RMK AO1",KDTA,2026-03-20T15:20:00.000Z,39.3879,-112.5041,13,-6,70,10,,10+,30.31,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1452
"SPECI SKEJ 201520Z 23004KT 200V270 9999 FEW005 BKN015 26/24 Q1013",SKEJ,2026-03-20T15:20:00.000Z,7.0260,-73.8090,26,24,230,4,,6+,29.91,,,,,,,,,,,FEW,500,BKN,1500,,,,,MVFR,,,,,,,,,,,,SPECI,123
"METAR KLUG 201520Z AUTO 20011KT 10SM CLR 22/09 A3011 RMK A01",KLUG,2026-03-20T15:20:00.000Z,35.5082,-86.8055,22,9,200,11,,10+,30.11,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,218
"METAR KMCC 201520Z AUTO 00000KT 10SM CLR 15/13 A3000 RMK AO2",KMCC,2026-03-20T15:20:00.000Z,38.6780,-121.4030,15,13,0,0,,10+,30.00,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,21
"METAR LWSK 201520Z 36013KT 9999 SCT055 BKN075 10/M03 Q1011 NOSIG",LWSK,2026-03-20T15:20:00.000Z,41.9520,21.6270,10,-3,360,13,,6+,29.85,,,,,,TRUE,,,,,SCT,5500,BKN,7500,,,,,VFR,,,,,,,,,,,,METAR,232
"METAR KXNX 201520Z AUTO 21008G18KT 170V240 10SM CLR 20/09 A3011 RMK A01",KXNX,2026-03-20T15:20:00.000Z,36.3745,-86.4100,20,9,210,8,18,10+,30.11,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,178
"METAR LATI 201520Z 33016KT 9999 SCT086 15/M02 Q1007 NOSIG",LATI,2026-03-20T15:20:00.000Z,41.4190,19.7160,15,-2,330,16,,6+,29.73,,,,,,TRUE,,,,,SCT,8600,,,,,,,VFR,,,,,,,,,,,,METAR,32
"METAR KBQX 201520Z AUTO 18009KT 10SM 21/19 A3023 RMK A01",KBQX,2026-03-20T15:20:00.000Z,28.3140,-95.6200,21,19,180,9,,10+,30.23,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,34
"METAR EKVG 201520Z 25008KT 210V290 9999 SCT025 BKN055 BKN150 07/03 Q1005 RMK WIND SKEID VRB08G22KT",EKVG,2026-03-20T15:20:00.000Z,62.0650,-7.2820,7,3,250,8,,6+,29.68,,,,,,,,,,,SCT,2500,BKN,5500,BKN,15000,,,VFR,,,,,,,,,,,,METAR,89
"SPECI CYQF 201520Z AUTO 14007KT 9SM OVC026 01/M00 A2980 RMK SLP132",CYQF,2026-03-20T15:20:00.000Z,52.1790,-113.9030,1,0,140,7,,9,29.80,1013.2,,TRUE,,,,,,,,OVC,2600,,,,,,,MVFR,,,,,,,,,,,,SPECI,912
"METAR KVAF 201520Z 15010KT 3SM HZ CLR 22/15 A3020 RMK A01 WINDS UN-RELIABLE 350 TO 45 DEGREES",KVAF,2026-03-20T15:20:00.000Z,27.3536,-94.6253,22,15,150,10,,3,30.20,,,,TRUE,,,,,,HZ,,,,,,,,,MVFR,,,,,,,,,,,,METAR,38
"METAR EVGA 201520Z 36008KT CAVOK 08/M02 Q1019 NOSIG",EVGA,2026-03-20T15:20:00.000Z,56.7780,24.8540,8,-2,360,8,,6+,30.09,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,61
"METAR KXER 201520Z AUTO 05008KT 9SM CLR A3024 RMK A01",KXER,2026-03-20T15:20:00.000Z,27.9460,-90.9970,,,50,8,,9,30.24,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,40
"METAR KOYE 201520Z AUTO 36003KT 10SM CLR 20/07 A3023 RMK A01",KOYE,2026-03-20T15:20:00.000Z,28.8669,-90.4911,20,7,360,3,,10+,30.23,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,30
"METAR KSEM 201520Z AUTO 00000KT 10SM CLR 18/09 A3023 RMK AO2",KSEM,2026-03-20T15:20:00.000Z,32.3367,-86.9836,18,9,0,0,,10+,30.23,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,48
"METAR EETN 201520Z 34004KT CAVOK 07/M01 Q1020 NOSIG",EETN,2026-03-20T15:20:00.000Z,59.4130,24.8010,7,-1,340,4,,6+,30.12,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,41
"METAR EYKA 201520Z 36009KT 320V030 9999 BKN046 09/M01 Q1019",EYKA,2026-03-20T15:20:00.000Z,54.9620,24.0690,9,-1,360,9,,6+,30.09,,,,,,,,,,,BKN,4600,,,,,,,VFR,,,,,,,,,,,,METAR,68
"METAR EYPA 201520Z 35006KT 260V060 CAVOK 06/00 Q1021",EYPA,2026-03-20T15:20:00.000Z,55.9730,21.0920,6,0,350,6,,6+,30.15,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,15
"METAR EVRA 201520Z 33007KT CAVOK 05/M01 Q1020 NOSIG",EVRA,2026-03-20T15:20:00.000Z,56.9240,23.9680,5,-1,330,7,,6+,30.12,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,7
"METAR KGVW 201520Z AUTO 15006KT 10SM BKN026 A3020 RMK A01",KGVW,2026-03-20T15:20:00.000Z,29.1303,-94.5466,,,150,6,,10+,30.20,,,TRUE,TRUE,,,,,,,BKN,2600,,,,,,,MVFR,,,,,,,,,,,,METAR,37
"METAR KJSL 201520Z AUTO VRB04G10KT 10SM FEW033 A3020 RMK A01",KJSL,2026-03-20T15:20:00.000Z,26.2367,-91.2567,,,0,4,10,10+,30.20,,,TRUE,TRUE,,,,,,,FEW,3300,,,,,,,VFR,,,,,,,,,,,,METAR,45
"SPECI YBCS 201520Z AUTO 27005KT 9999 -SHRA FEW006 SCT010 BKN020 24/24 Q1008 RESHRA",YBCS,2026-03-20T15:20:00.000Z,-16.8740,145.7450,24,24,270,5,,6+,29.76,,,TRUE,,,,,,,-SHRA,FEW,600,SCT,1000,BKN,2000,,,MVFR,,,,,,,,,,,,SPECI,2
"SPECI CYDQ 201520Z AUTO /////KT 4SM -SN OVC023 M02/M03 A2983 RMK WIND MISG SLP134",CYDQ,2026-03-20T15:20:00.000Z,55.7410,-120.1880,-2,-3,,,,4,29.83,1013.4,,TRUE,,,,,,,-SN,OVC,2300,,,,,,,MVFR,,,,,,,,,,,,SPECI,658
"METAR PKWA 201520Z AUTO 15003KT 10SM CLR 28/25 A2978 RMK AO2 T02790247",PKWA,2026-03-20T15:20:00.000Z,8.7200,167.7240,27.9,24.7,150,3,,10+,29.78,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,6
"SPECI CYZY 201520Z AUTO 34008G15KT 300V360 3SM -SN OVC030 M04/M06 A2978 RMK SLP126",CYZY,2026-03-20T15:20:00.000Z,55.3030,-123.1350,-4,-6,340,8,15,3,29.78,1012.6,,TRUE,,,,,,,-SN,OVC,3000,,,,,,,MVFR,,,,,,,,,,,,SPECI,694
"SPECI CYNA 201519Z AUTO 13016G22KT 7SM -SN BKN020 OVC028 M05/M09 A3001 RMK SLP167",CYNA,2026-03-20T15:19:00.000Z,50.1900,-61.7890,-5,-9,130,16,22,7,30.01,1016.7,,TRUE,,,,,,,-SN,BKN,2000,OVC,2800,,,,,MVFR,,,,,,,,,,,,SPECI,9
"METAR K2V6 201519Z AUTO 31010KT 10SM CLR 18/M04 A3018 RMK AO2",K2V6,2026-03-20T15:19:00.000Z,40.1047,-102.7128,18,-4,310,10,,10+,30.18,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1257
"SPECI YHID 201519Z AUTO 34018KT 5000 +SHRA BKN014 BKN020 BKN026 27/25 Q1004",YHID,2026-03-20T15:19:00.000Z,-10.5840,142.2900,27,25,340,18,,3.11,29.65,,,TRUE,,,,,,,+SHRA,BKN,1400,BKN,2000,BKN,2600,,,MVFR,,,,,,,,,,,,SPECI,5
"SPECI CYKL 201519Z AUTO 20006KT 9SM -SN SCT049 BKN066 BKN082 M12/M16 A2966 RMK SLP089",CYKL,2026-03-20T15:19:00.000Z,54.8030,-66.8040,-12,-16,200,6,,9,29.66,1008.9,,TRUE,,,,,,,-SN,SCT,4900,BKN,6600,BKN,8200,,,VFR,,,,,,,,,,,,SPECI,507
"SPECI CYHU 201519Z AUTO 06004KT 9SM -SN OVC037 M02/M07 A2999 RMK SLP159",CYHU,2026-03-20T15:19:00.000Z,45.5160,-73.4150,-2,-7,60,4,,9,29.99,1015.9,,TRUE,,,,,,,-SN,OVC,3700,,,,,,,VFR,,,,,,,,,,,,SPECI,26
